year,median_annual_earnings_gbp,total_tax_gap_bn,income_yoy_pct,taxgap_yoy_pct
2006,19521.0,32.5,,
2007,20000.0,30.4,2.45,-6.46
2008,20811.0,29.5,4.06,-2.96
2009,21310.0,31.6,2.4,7.12
2010,21212.0,28.6,-0.46,-9.49
2012,21500.0,30.1,1.36,5.24
2013,21837.0,33.1,1.57,9.97
2014,22069.0,36.5,1.06,10.27
2015,22436.0,32.8,1.66,-10.14
2016,23084.0,33.0,2.89,0.61
2017,23484.0,32.7,1.73,-0.91
2018,24003.0,31.9,2.21,-2.45
2019,24937.0,33.3,3.89,4.39
2020,25886.0,38.5,3.81,15.62
2021,25971.0,34.2,0.33,-11.17
2022,27774.0,41.8,6.94,22.22
2023,29511.0,46.4,6.25,11.0
2024,31600.0,46.8,7.08,0.86
